# Scenario - exhibit mode
# Carl Nicholson
# Date 02/03/2022
# 27/01/22 V2 format
time,wind,solar,temperature,demand
00:00:00,10,0,10,0.2
01:00:00,20,0,15,0.2
02:00:00,40,0,15,0.2
03:00:00,60,0,20,0.2
04:00:00,50,0,25,0.3
05:00:00,40,100,20,0.27
06:00:00,30,200,20,0.33
07:00:00,50,500,20,0.67
08:00:00,20,900,20,1
09:00:00,20,900,22,0.67
10:00:00,0,1000,22,0.53
11:00:00,0,800,22,0.53
12:00:00,0,1000,23,0.53
13:00:00,0,1000,22,0.53
14:00:00,10,1100,20,0.53
15:00:00,20,900,20,0.4
16:00:00,30,300,20,0.4
17:00:00,50,350,20,0.51
18:00:00,50,500,20,1
19:00:00,60,300,15,1
20:00:00,70,100,15,0.8
21:00:00,90,50,12,0.8
22:00:00,60,0,12,0.5
23:00:00,30,0,10,0.2
